"video_cats","video_intense","video_num","Subject","how_aroused","how_fearful","how_pleasant","how_present_distant"
"Heights","High","1","R_02hovykUguDYNvX",7,7,2,7
"Heights","High","1","R_07LWbSNN2LeacH7",4,3,3,6
"Heights","High","1","R_0D3jz5vAZzHLlRf",7,7,1,7
"Heights","High","1","R_0U7Lx46Ea7gH93H",6,7,1,6
"Heights","High","1","R_10PMBlLxTrAn3La",6,5,2,5
"Heights","High","1","R_12tikKz34x8g6no",6,7,3,6
"Heights","High","1","R_1C6Yob8vtleTMVa",4,3,1,5
"Heights","High","1","R_1Cl5O6CqdXvL4uQ",6,1,5,5
"Heights","High","1","R_1db1tMBEEHcORzc",7,7,2,7
"Heights","High","1","R_1dGPDAkjnInPvLv",4,4,3,5
"Heights","High","1","R_1dhQLdeO2c59N63",4,6,3,7
"Heights","High","1","R_1dL9aI0w8MzcXar",7,6,2,5
"Heights","High","1","R_1DUppTsWbo3CX2H",2,3,2,2
"Heights","High","1","R_1eFffdFHvefh6Xy",3,2,3,6
"Heights","High","1","R_1Ehc8q8iyqKG8ns",7,6,5,4
"Heights","High","1","R_1eQbKcCudmqEyKP",7,7,1,2
"Heights","High","1","R_1g8BMqTUhQHVe1N",7,7,1,7
"Heights","High","1","R_1gbgwAmly9SYuUJ",4,5,3,5
"Heights","High","1","R_1GBsFuA3ZVcPRWe",5,4,4,5
"Heights","High","1","R_1GDI4erSIx7VG4a",2,7,4,4
"Heights","High","1","R_1gMDGZAGteVx7jy",6,6,3,5
"Heights","High","1","R_1gSjyaJPHI8KVez",7,7,1,5
"Heights","High","1","R_1GTYk1ZyrXpa1du",6,6,4,7
"Heights","High","1","R_1GVRcZcNViwhY00",5,5,2,6
"Heights","High","1","R_1H16OHLkn1F958t",1,5,4,4
"Heights","High","1","R_1IcKUlJ5I6gvH74",7,5,2,4
"Heights","High","1","R_1j9swkI23ULWb79",4,5,2,7
"Heights","High","1","R_1jj544KSRmDnn1e",5,5,1,6
"Heights","High","1","R_1JJIiXozQxILD1w",7,7,2,7
"Heights","High","1","R_1jkWw27Jo9Javir",7,7,2,7
"Heights","High","1","R_1kYwzlUTUo6LDcl",4,6,2,2
"Heights","High","1","R_1Lnj9cPvmtTXqVB",5,6,1,1
"Heights","High","1","R_1LUJLwh9qDrA5Y7",7,7,1,7
"Heights","High","1","R_1LXWKY7izS3P2II",6,7,1,5
"Heights","High","1","R_1mdTD3aVSC7uDMd",5,6,1,4
"Heights","High","1","R_1mOE5AIdk87Kh7U",5,6,2,6
"Heights","High","1","R_1MWhLlfgDbuWsva",5,7,2,6
"Heights","High","1","R_1mXdBon4pwRQsXB",6,6,2,4
"Heights","High","1","R_1NCCj6Nz27k5yP8",7,4,4,4
"Heights","High","1","R_1nU4CABEilUuhea",3,2,6,5
"Heights","High","1","R_1OI8hNAeEaHPPsW",3,2,4,6
"Heights","High","1","R_1OvqYMyxuFyHRyE",3,2,3,7
"Heights","High","1","R_1pDrHHJ48cBmanv",5,5,1,7
"Heights","High","1","R_1pRnuiyols8PW6d",5,4,2,6
"Heights","High","1","R_1PT4VMXzyu9X4vk",6,5,4,6
"Heights","High","1","R_1pW1nozXPce7B2K",5,6,2,6
"Heights","High","1","R_1pZ2DYf9U47F1D8",6,6,1,6
"Heights","High","1","R_1qaieaKdF5EmRiY",6,5,4,6
"Heights","High","1","R_1qVaC4D1KbxmCQY",5,5,3,5
"Heights","High","1","R_1rjrBKLKM9db7WK",7,6,3,6
"Heights","High","1","R_1rqO7j4Xmu87K6Y",6,5,2,5
"Heights","High","1","R_20ZnUh7tdcBeNeE",5,3,2,6
"Heights","High","1","R_21ALhxbLBCibvkH",5,5,2,6
"Heights","High","1","R_21teA0iKhSVzP7n",7,7,1,7
"Heights","High","1","R_22obeeOw4NH8Htf",4,4,3,4
"Heights","High","1","R_23eHB3ku86oKY7E",2,2,3,1
"Heights","High","1","R_24AHi36C1tDKRDY",5,5,3,3
"Heights","High","1","R_24jFPux1Ro8lIvm",7,7,1,7
"Heights","High","1","R_24kfeQ80ukvZv2y",3,3,4,3
"Heights","High","1","R_25LylmU2vMkw8hu",6,6,1,7
"Heights","High","1","R_25WScvehCh4Uji5",7,6,2,6
"Heights","High","1","R_27OJMmyphe1MPJ9",7,7,1,7
"Heights","High","1","R_27QNj5g70puzChi",5,5,3,5
"Heights","High","1","R_2aDoktnWlgQzDLD",6,6,4,7
"Heights","High","1","R_2af7wuavAJCwAuX",5,1,4,5
"Heights","High","1","R_2AKgXpCPM3DhbWA",5,5,1,5
"Heights","High","1","R_2alamzgEQ6HfEBZ",2,7,1,2
"Heights","High","1","R_2arUSyyZ6Su5zIz",6,5,2,3
"Heights","High","1","R_2bN5UY9UkQoZbPR",1,4,5,5
"Heights","High","1","R_2cjdC0KDNDXzfMg",6,4,3,7
"Heights","High","1","R_2CTF6DYoxo4qp7q",6,5,2,6
"Heights","High","1","R_2EiMriXOE5s1mS9",2,4,3,6
"Heights","High","1","R_2eXAAkEkr0NTtNv",5,5,5,4
"Heights","High","1","R_2OVGSoMSQYDJbeP",7,7,1,7
"Heights","High","1","R_2q4VqWiiCFWajt7",6,6,2,4
"Heights","High","1","R_2QFc9So8uqx7zrt",3,2,4,4
"Heights","High","1","R_2qfRlihaJGKVcaE",3,3,3,6
"Heights","High","1","R_2QlM2cDlNgClEmO",4,5,3,4
"Heights","High","1","R_2qxbXHtlB6qnRoG",7,7,1,7
"Heights","High","1","R_2rHfbD6ikCVgDGH",6,5,5,7
"Heights","High","1","R_2sRYsPQ3NsfMbYg",5,2,5,6
"Heights","High","1","R_2SvmRVhhPSB6SVm",7,7,1,5
"Heights","High","1","R_2tzj1YW66bkKb4m",5,2,3,5
"Heights","High","1","R_2uDqycEYtFxtzCy",5,5,3,7
"Heights","High","1","R_2uO32vZC8Fm6SX9",2,5,3,2
"Heights","High","1","R_2usUVsDp0hI7J1T",7,7,2,7
"Heights","High","1","R_2UWcqZdUPtP72Jk",5,3,3,5
"Heights","High","1","R_2VaVNcQVsiiA9iM",7,6,2,6
"Heights","High","1","R_2VBDEEysrjSJmbH",5,5,3,5
"Heights","High","1","R_2vc51ODstmx0ZSu",6,6,2,7
"Heights","High","1","R_2VjA9TyvLo7kaJ4",7,7,7,7
"Heights","High","1","R_2VmDZQcjOmO2svq",6,5,7,7
"Heights","High","1","R_2wFg9AcQrCu55Sp",1,2,3,6
"Heights","High","1","R_2wNc2mET4n9rGZP",6,7,1,7
"Heights","High","1","R_2WUxRCE94Rnvpbn",6,6,1,5
"Heights","High","1","R_2WZ1HeLze5u5OxP",4,3,3,5
"Heights","High","1","R_2YQdOxrw5qsM48s",7,7,1,4
"Heights","High","1","R_2YqUeVF4AoW9MvB",5,5,3,5
"Heights","High","1","R_2YXqTMKyhy5RBYR",5,7,1,7
"Heights","High","1","R_2z7q1EkCiBzJZ5e",5,5,2,5
"Heights","High","1","R_2zdxiXgY3GkN1sK",4,7,1,7
"Heights","High","1","R_2zdypco37CT9Pr3",5,2,4,6
"Heights","High","1","R_2zIy1c7smtu4An5",4,5,3,5
"Heights","High","1","R_2ZKYsxFJUzWzQzU",7,7,1,7
"Heights","High","1","R_305ItLpTNsERowr",7,7,1,7
"Heights","High","1","R_308fAGXAjvPsvTI",6,6,2,7
"Heights","High","1","R_31QMaLLICfNqbPe",3,7,1,5
"Heights","High","1","R_31YFNJrXl5tw9hx",7,7,1,6
"Heights","High","1","R_33rP9NEIgg90lY8",5,3,5,5
"Heights","High","1","R_3CN3v70gw3Es9oA",4,2,4,4
"Heights","High","1","R_3dX4NtfVHJQLcq4",2,1,4,5
"Heights","High","1","R_3e8Gko0Kv1qSXSL",6,5,2,7
"Heights","High","1","R_3EakufORNoswZxY",4,4,3,4
"Heights","High","1","R_3Eo19xBdodh5BNW",7,5,1,7
"Heights","High","1","R_3EQC0CHAK7OFgFx",6,6,6,7
"Heights","High","1","R_3esQpQ4iuLpdZP4",6,5,4,6
"Heights","High","1","R_3fiKSfwprnbbZVY",6,6,3,6
"Heights","High","1","R_3fTvhseqy5iLar9",7,7,1,5
"Heights","High","1","R_3HzPWTTaGI6vOZj",7,7,1,5
"Heights","High","1","R_3iBZlz1UfBe7Rt4",6,6,2,7
"Heights","High","1","R_3iPBNS4kQ3kfklP",3,3,3,5
"Heights","High","1","R_3Iz85vApvmtC7W9",2,1,4,2
"Heights","High","1","R_3JeccEQZIMqVvoQ",5,5,2,6
"Heights","High","1","R_3jfb7IFXpunnHQ5",7,7,1,7
"Heights","High","1","R_3JJX2QNr3kHHl00",4,5,1,3
"Heights","High","1","R_3jZnIC2F8kbe7Fq",3,6,2,3
"Heights","High","1","R_3k26oKoDIybCKJ6",6,6,2,2
"Heights","High","1","R_3kH9ieEExeYqQQx",5,4,1,4
"Heights","High","1","R_3kijHRU5RXB5dwy",7,7,1,7
"Heights","High","1","R_3kN2XJMRe18Oa9H",7,6,1,6
"Heights","High","1","R_3KpH07rqM0125YP",7,7,1,7
