"video_cats","video_intense","video_num","Subject","Anxiety","ExpectedFear","how_aroused","how_distant_present","how_fearful","how_pleasant"
"Heights","High","1","R_0lFJxz1l9GCqPLz",77,77,98,94,94,60
"Heights","High","1","R_10HrOnbw2qcNAFb",91,77,90,88,92,84
"Heights","High","1","R_10q0sXSDxr6uiLQ",5,10,70,60,40,30
"Heights","High","1","R_12roVNyjptyqPX7",0,0,40,40,30,40
"Heights","High","1","R_1BQO7gJBnvyOfnX",67,77,84,74,64,24
"Heights","High","1","R_1dKwDU013ctZcWB",58,86,98,100,99,0
"Heights","High","1","R_1EYiSA7OuD5fcOR",96,100,100,100,100,0
"Heights","High","1","R_1FbU3BZ3c8TSv8Q",16,17,57,43,31,48
"Heights","High","1","R_1IHhzezWkuPoGI1",0,0,0,0,0,50
"Heights","High","1","R_1JJ9v8kI1xLTIzk",0,5,99,100,25,92
"Heights","High","1","R_1k0jZkHgc2fuwrT",8,15,45,64,30,25
"Heights","High","1","R_1k1XfPdy5fGOgce",22,31,4,34,81,37
"Heights","High","1","R_1K83jaaIhmUroct",14,61,78,70,60,35
"Heights","High","1","R_1Lb4ufeIxRNJL6d",7,15,100,100,95,35
"Heights","High","1","R_1mRfeliyC362m9I",15,30,90,80,60,20
"Heights","High","1","R_1N8PfXN94lXsKqs",70,71,100,100,100,0
"Heights","High","1","R_1Ngm1dwb6b8gUCb",0,0,50,100,50,50
"Heights","High","1","R_1P5it599MB6JPGo",69,70,88,63,65,72
"Heights","High","1","R_1PcadSYfGf2PSUz",56,63,70,71,66,25
"Heights","High","1","R_1pXAJSjLxGuFnzr",9,72,31,63,31,51
"Heights","High","1","R_214D9q0Wz9CWOHY",42,100,100,100,100,20
"Heights","High","1","R_21oBrz58HPW2sJC",39,70,82,100,83,22
"Heights","High","1","R_22Pa4rdW2nUEzTP",0,0,36,91,5,39
"Heights","High","1","R_22Sqf4FjWJpyFvk",25,51,51,100,51,1
"Heights","High","1","R_24jBqyC3zOdJKHk",65,84,27,23,93,29
"Heights","High","1","R_27dPJ0iZtEvdYD4",10,10,10,35,10,45
"Heights","High","1","R_27QiJuaHb7aXJQ9",0,0,17,12,0,16
"Heights","High","1","R_28D2wkAUezhavew",8,39,63,81,42,35
"Heights","High","1","R_2BsbF9JRjRAUCrG",3,15,72,82,73,21
"Heights","High","1","R_2Bu4QGABXAR2XFn",64,32,57,61,57,21
"Heights","High","1","R_2bZUOiUOmzc5qJJ",62,30,35,32,42,30
"Heights","High","1","R_2cingKcm9OAuqlq",71,62,70,72,65,78
"Heights","High","1","R_2dmva03gx1Dfg5o",5,66,76,34,58,42
"Heights","High","1","R_2dQROrRA3MLkRKa",95,90,100,100,91,8
"Heights","High","1","R_2eUtv3tn0HBYOmQ",0,0,10,60,0,50
"Heights","High","1","R_2eVBKiWn6Yoa3R4",52,3,0,51,4,99
"Heights","High","1","R_2fJcBcUeDAkveeM",0,28,34,63,67,43
"Heights","High","1","R_2frkDhV2x6aNvWz",51,51,41,52,53,54
"Heights","High","1","R_2tsOekW5EXwGsGp",35,51,93,100,94,5
"Heights","High","1","R_2VQGraBOdDfD6kP",9,12,33,20,17,56
"Heights","High","1","R_2WMF35rtU0uBexM",69,91,66,35,81,77
"Heights","High","1","R_2YEvsxnrHnaedVc",81,34,97,97,99,6
"Heights","High","1","R_2ylbwil58S9Dg3g",0,0,95,93,83,3
"Heights","High","1","R_31dr2XpqS952AKV",0,0,100,91,30,50
"Heights","High","1","R_337PEDW01nxmrXn",94,87,93,90,90,88
"Heights","High","1","R_3eh7lS2Gn0YIGX8",51,61,67,71,59,38
"Heights","High","1","R_3EuNzDW57avhFal",34,34,50,71,100,0
"Heights","High","1","R_3EvhOmMQGHjxisJ",3,3,3,96,2,32
"Heights","High","1","R_3fld7tjf93fYznF",52,91,100,93,100,5
"Heights","High","1","R_3hauTph43RzeqC1",11,20,16,29,14,86
"Heights","High","1","R_3hllAS7v9Mr6KHa",13,44,99,99,94,23
"Heights","High","1","R_3hmCJ8nN5viaaPy",51,51,11,19,81,81
"Heights","High","1","R_3htesdLPiYClCA5",0,0,0,94,0,51
"Heights","High","1","R_3Huhrq1djTT4KdF",17,22,95,89,82,0
"Heights","High","1","R_3ixIFx3YVFn2phw",33,34,77,74,44,23
"Heights","High","1","R_3j3egpbCQ8AOaFH",55,65,100,95,90,30
"Heights","High","1","R_3JK8mhcVAhH1cYN",0,5,82,97,19,15
"Heights","High","1","R_3JzngGW2vsHAk6Y",27,24,42,58,40,30
"Heights","High","1","R_3KryTuJmKTxXjim",3,3,75,80,31,48
"Heights","High","1","R_3lxMuyrbG1ewg89",65,75,80,80,80,20
"Heights","High","1","R_3LZJrZemGbYtmAq",0,10,0,100,5,0
"Heights","High","1","R_3NU2EbrCDhYOSw4",61,77,100,94,81,21
"Heights","High","1","R_3NUHkQ7u6Z7U5So",20,10,19,87,11,40
"Heights","High","1","R_3oGZtyQH6L4kqUw",0,30,19,45,42,14
"Heights","High","1","R_3oKQvyXwd8LBwRD",10,35,30,35,20,65
"Heights","High","1","R_3q7kYa381PtmyA3",41,55,92,87,70,30
"Heights","High","1","R_3QPBTjd1B8cWwVs",89,100,94,5,99,45
"Heights","High","1","R_3qvt4ofeIEPVi6Z",3,0,80,89,13,88
"Heights","High","1","R_3s16evth0kO1gOG",39,70,85,85,80,20
"Heights","High","1","R_5irlwFbumPPxDqN",55,55,95,90,80,0
"Heights","High","1","R_5vEde5bpfRcBUSR",30,90,58,48,70,40
"Heights","High","1","R_88QBxtZzthDPw5P",36,36,95,95,87,15
"Heights","High","1","R_8lhMbAAmhPTH3KV",26,20,77,22,80,14
"Heights","High","1","R_9z6o3XhybVZnDJD",86,100,100,98,80,83
"Heights","High","1","R_A1ynaFImvOIYIyl",5,10,76,82,20,17
"Heights","High","1","R_agu43adP9dmW1Ut",15,15,34,82,35,29
"Heights","High","1","R_aViQ4qyGf4ZfmLf",2,60,70,100,40,51
"Heights","High","1","R_cT3eteh2G55FPjj",18,23,69,82,59,34
"Heights","High","1","R_cYkozB2WqZbxvi1",70,70,85,85,80,10
"Heights","High","1","R_DAf4S53mLTGDwQ1",5,24,64,79,33,34
"Heights","High","1","R_DSLgkEtvD3Fa10Z",80,80,100,100,90,30
"Heights","High","1","R_eIJhGp1TZkpiVdn",60,70,40,71,40,50
"Heights","High","1","R_eLL4wseyOFuox5D",75,73,87,72,83,39
"Heights","High","1","R_pawByuUlC7Ye2AN",2,0,71,94,26,37
"Heights","High","1","R_pMBnK60HOxcmyZz",5,5,55,80,20,56
"Heights","High","1","R_po8MWys5eYyufip",16,0,19,100,0,62
"Heights","High","1","R_Qgjm9n7YBgShxYZ",12,3,16,62,7,56
"Heights","High","1","R_Rtu9vj81TcVzBDz",12,5,95,83,25,67
"Heights","High","1","R_RXEHPs8tYQNbHJn",82,88,85,69,95,7
"Heights","High","1","R_tECZC6S2PedhmA9",77,84,96,77,86,5
"Heights","High","1","R_TnMHq0KaIVlKfqp",0,0,100,100,88,0
"Heights","High","1","R_TorWoeGEL3lNlbX",13,20,69,62,40,45
"Heights","High","1","R_un9FpuYuTNHwtj3",5,8,24,10,9,30
"Heights","High","1","R_WDrPZnYCUoeSmR3",0,0,0,80,0,0
"Heights","High","1","R_wRyJJImGxzrwl69",4,14,71,86,19,65
"Heights","High","1","R_wYklq5dyUKrTpfz",70,70,100,100,100,0
"Heights","High","1","R_XIlOj977r0FkBj3",20,20,51,90,40,17
"Heights","High","1","R_Y9zteRJA0ZIyZ5D",66,66,57,92,61,0
"Heights","High","1","R_ywJ22mo2kwiNbYl",85,87,92,93,93,3
"Heights","High","1","R_z0WWV95k7LQI9z3",67,78,81,83,76,84
"Heights","High","2","R_0lFJxz1l9GCqPLz",70,74,83,74,78,45
"Heights","High","2","R_10HrOnbw2qcNAFb",82,72,88,86,91,86
"Heights","High","2","R_10q0sXSDxr6uiLQ",5,5,70,70,50,10
"Heights","High","2","R_12roVNyjptyqPX7",0,0,40,60,40,20
"Heights","High","2","R_1BQO7gJBnvyOfnX",63,65,88,84,75,4
"Heights","High","2","R_1dKwDU013ctZcWB",77,85,93,93,90,1
"Heights","High","2","R_1EYiSA7OuD5fcOR",81,100,100,100,100,0
"Heights","High","2","R_1FbU3BZ3c8TSv8Q",28,19,30,28,40,50
"Heights","High","2","R_1IHhzezWkuPoGI1",0,0,30,40,0,30
"Heights","High","2","R_1JJ9v8kI1xLTIzk",0,1,96,96,40,81
"Heights","High","2","R_1k0jZkHgc2fuwrT",15,0,40,65,15,40
"Heights","High","2","R_1k1XfPdy5fGOgce",21,24,91,92,66,0
"Heights","High","2","R_1K83jaaIhmUroct",41,63,94,82,88,19
"Heights","High","2","R_1Lb4ufeIxRNJL6d",7,15,100,100,90,10
"Heights","High","2","R_1mRfeliyC362m9I",17,30,80,90,60,20
"Heights","High","2","R_1N8PfXN94lXsKqs",81,80,100,100,100,0
"Heights","High","2","R_1Ngm1dwb6b8gUCb",0,0,50,100,50,50
"Heights","High","2","R_1P5it599MB6JPGo",71,76,86,70,72,76
"Heights","High","2","R_1PcadSYfGf2PSUz",55,60,62,76,70,11
"Heights","High","2","R_1pXAJSjLxGuFnzr",70,90,92,91,92,0
"Heights","High","2","R_214D9q0Wz9CWOHY",21,65,76,81,67,20
"Heights","High","2","R_21oBrz58HPW2sJC",40,55,100,100,91,0
"Heights","High","2","R_22Pa4rdW2nUEzTP",5,0,40,78,5,40
"Heights","High","2","R_22Sqf4FjWJpyFvk",31,45,41,100,44,1
"Heights","High","2","R_24jBqyC3zOdJKHk",68,68,43,43,85,27
"Heights","High","2","R_27dPJ0iZtEvdYD4",15,10,15,20,10,40
"Heights","High","2","R_27QiJuaHb7aXJQ9",0,0,0,28,8,46
"Heights","High","2","R_28D2wkAUezhavew",9,29,79,80,71,19
"Heights","High","2","R_2BsbF9JRjRAUCrG",0,10,64,71,54,20
"Heights","High","2","R_2Bu4QGABXAR2XFn",44,31,43,68,42,45
"Heights","High","2","R_2bZUOiUOmzc5qJJ",40,42,76,72,81,6
"Heights","High","2","R_2cingKcm9OAuqlq",71,80,77,77,79,88
